Facility Name,CMS Certification Number (CCN),Alternate CCN,Address,City,State,Zip Code,Network,VAT Catheter Measure Score,VAT Catheter Achievement Measure Rate,VAT Fistula Measure Score Applied,Kt/V Comprehensive Achievement Measure Rate,ICH CAHPS Neph Comm and Caring Measure Score Applied,ICH CAHPS Quality of Dialysis Care and Ops Achievement Rate,ICH CAHPS Quality of Dialysis Care and Ops Improvement Rate,ICH CAHPS Quality of Dialysis Care and Ops Measure Score Applied,ICH CAHPS Providing Info to Patients Achievement Rate,ICH CAHPS Providing Info to Patients Improvement Rate,ICH CAHPS Providing Info to Patients Measure Score Applied,ICH CAHPS Overall Rating of Neph Achievement Rate,ICH CAHPS Overall Rating of Neph Improvement Rate,ICH CAHPS Overall Rating of Neph Measure Score Applied,ICH CAHPS Overall Rating of Dialysis Staff Achievement Rate,ICH CAHPS Overall Rating of Dialysis Staff Improvement Rate,ICH CAHPS Overall Rating of Dialysis Staff Measure Score Applied,ICH CAHPS Overall Rating of Dialysis Facility Achievement Rate,ICH CAHPS Overall Rating of Dialysis Facility Improvement Rate,ICH CAHPS Overall Rating of Dialysis Facility Measure Score Applied,Serum Phosphorus Measure Score,Serum Phosphorus Reason for No Score (See Footnotes File),National Average Serum Phosphorus Measure Score,Anemia Management Measure Score,Anemia Management Reason for No Score (See Footnotes File),National Average Anemia Management Measure Score,Standardized Readmission Ratio (SRR) Measure Score,SRR Reason for No Score (See Footnotes File),SRR Achievement Measure Ratio,Number of Index Discharges in SRR Achievement Period,SRR Achievement Period Numerator,SRR Achievement Period Denominator,SRR Improvement Measure Ratio,SRR Improvement Period Numerator,SRR Improvement Period Denominator,SRR Measure Score Applied,National Average SRR Measure Score,National Average SHR Measure Score,Total Performance Score,PY2020 Payment Reduction Percentage,CMS Certification Date,"Ownership as of December 31, 2018",Date of Ownership Record Update
RAI CARE CENTER - AMES AVE,282521,-,5084 AMES AVE ,OMAHA,NE,68104,12,0,35.08%,Achievement,97.25%,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,10,-,9,10,-,10,1,-,1.202,95,29,24.126,0.905,16,17.685,Achievement,5,5,42,1.00%,01-11-2003,FRESENIUS MEDICAL CARE,02-11-2003
GRAND ISLAND DIALYSIS,282522,-,203 EAST STOLLEY PARK ROAD SUITE G,GRAND ISLAND,NE,68801,12,10,0.00%,Achievement,95.53%,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,8,-,9,10,-,10,8,-,0.728,28,6,7.782,0.946,7,7.401,Achievement,5,5,81,No Reduction,01-11-2003,DAVITA,28-09-2018
FMC - GRAND ISLAND,282523,-,3516 RICHMOND CIRCLE ,GRAND ISLAND,NE,68803,12,9,3.85%,Achievement,97.93%,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,10,-,9,10,-,10,8,-,0.754,58,12,15.922,0.963,17,17.66,Achievement,5,5,86,No Reduction,02-07-2004,FRESENIUS MEDICAL CARE,25-08-2014
"DIALYSIS CLINIC, INC",282524,-,4112 TWIN CREEK DR ,BELLEVUE,NE,68123,12,8,6.19%,Achievement,93.16%,N/A,No Rate,78.99%,N/A,No Rate,89.87%,N/A,No Rate,80.55%,N/A,No Rate,82.76%,N/A,No Rate,92.66%,N/A,9,-,9,10,-,10,7,-,0.799,54,11,13.766,0.947,15,15.842,Achievement,5,5,61,No Reduction,16-07-2004,"DIALYSIS CLINIC, INC.",23-01-2017
CARL T CURTIS DIALYSIS CLINIC,282525,-,ATTN DIALYSIS UNIT 100 INDIAN HILLS DR,MACY,NE,68039,12,8,4.91%,Achievement,83.59%,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,6,-,9,10,-,10,6,-,0.883,39,10,11.087,0.581,6,10.324,Achievement,5,5,45,1.00%,27-08-2004,NOT A CHAIN,28-08-2004
SOUTH LINCOLN DIALYSIS,282526,-,3401 PLANTATION DRIVE SUITE 140 ,LINCOLN,NE,68516,12,6,7.95%,Achievement,100.00%,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,10,-,9,10,-,10,10,-,0.326,13,1,3.067,0.293,1,3.409,Achievement,5,5,82,No Reduction,24-05-2006,DAVITA,25-05-2006
DIALYSIS CENTER OF LINCOLN SOUTHWEST,282527,-,5355 SOUTH 16TH STREET ,LINCOLN,NE,68512,12,6,8.66%,Improvement,90.12%,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,7,-,9,10,-,10,3,-,1.089,69,21,19.293,1.038,18,17.348,Achievement,5,5,40,1.00%,16-06-2008,NOT A CHAIN,17-06-2008
DIALYSIS CENTER OF LINCOLN - HOME,282528,-,5355 SOUTH 16TH STREET ,LINCOLN,NE,68512,12,10,2.84%,Achievement,87.46%,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,6,-,9,10,-,10,0,-,1.292,69,20,15.479,0.744,10,13.438,Achievement,5,5,62,No Reduction,17-12-2009,NOT A CHAIN,02-10-2009
OMAHA HARRISON DIALYSIS,282529,-,6610 S 168TH ST SUITE 8 ,OMAHA,NE,68135,12,7,6.77%,Achievement,98.83%,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,9,-,9,10,-,10,10,-,0.518,31,4,7.717,1.328,10,7.528,Achievement,5,5,81,No Reduction,29-05-2012,DAVITA,23-02-2016
NORTHEAST NEBRASKA DIALYSIS,282530,-,1603 PROSPECT AVE ,NORFOLK,NE,68701,12,9,4.12%,Achievement,98.97%,N/A,No Rate,69.78%,N/A,No Rate,86.57%,N/A,No Rate,65.11%,N/A,No Rate,76.37%,N/A,No Rate,76.85%,N/A,10,-,9,10,-,10,10,-,0.523,44,6,11.469,0.719,9,12.526,Achievement,5,5,88,No Reduction,01-12-2011,DAVITA,24-04-2017
OMAHA FLORENCE DIALYSIS,282531,-,7454 N 30TH ST ,OMAHA,NE,68112,12,9,4.48%,Achievement,96.42%,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,8,-,9,10,-,10,2,-,1.179,44,14,11.878,0.801,8,9.991,Achievement,5,5,51,0.50%,19-09-2012,DAVITA,19-09-2012
FMC - NEBRASKA HOME DIALYSIS,282532,-,2916 S 84TH ST ,OMAHA,NE,68124,12,0,24.69%,Achievement,76.37%,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,10,-,9,10,-,10,0,-,1.378,57,16,11.615,0.835,12,14.375,Achievement,5,5,43,1.00%,10-01-2014,FRESENIUS MEDICAL CARE,22-04-2015
OMAHA HOME TRAINING,282533,-,8021 CASS STREET ,OMAHA,NE,68114,12,No Score,No Rate,N/A,94.52%,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,8,-,9,10,-,10,No Score,13,No Ratio,<11,,,1.468,,,N/A,5,5,72,No Reduction,20-10-2014,DAVITA,20-10-2014
BEATRICE DIALYSIS,282534,-,5200 HOSPITAL PARKWAY ,BEATRICE,NE,68310,12,8,6.02%,Achievement,97.08%,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,9,-,9,10,-,10,1,-,1.265,39,16,12.189,No Ratio,N/A,N/A,Achievement,5,5,52,0.50%,29-06-2017,DAVITA,29-06-2017
FRESENIUS KIDNEY CARE OMAHA WEST,282535,-,15801 WEST DODGE ROAD ,OMAHA,NE,68118,12,No Score,No Rate,N/A,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Score,"1, 2",9,No Score,"1, 2",10,No Score,13,No Ratio,<11,,,No Ratio,,,N/A,5,5,No Score,No Reduction,24-10-2018,FRESENIUS MEDICAL CARE,N/A
DCI - SPRING STREET,282536,-,7070 SPRING STREET ,OMAHA,NE,68106,12,No Score,No Rate,N/A,97.65%,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Score,"1, 2",9,No Score,"1, 2",10,No Score,13,No Ratio,<11,,,No Ratio,,,N/A,5,5,No Score,No Reduction,21-11-2018,"DIALYSIS CLINIC, INC.",02-05-2018
292500 DESERT INN DIALYSIS (FMC),292500,-,"2545 S BRUCE ST, STE 100 ",LAS VEGAS,NV,89169,15,8,6.12%,Achievement,98.24%,Achievement,53.72%,58.96%,Achievement,73.12%,76.57%,Achievement,44.58%,49.96%,Achievement,55.98%,64.42%,Achievement,65.95%,69.40%,Achievement,10,-,9,10,-,10,0,-,1.335,237,82,61.42,1.394,93,66.714,Achievement,5,5,52,0.50%,07-05-1983,FRESENIUS MEDICAL CARE,28-07-2014
292501 LAS VEGAS DIALYSIS CENTER (DVA),292501,-,150 S VALLEY VIEW BLVD ,LAS VEGAS,NV,89107,15,5,10.28%,Achievement,93.83%,Improvement,54.87%,55.28%,Achievement,78.66%,72.18%,Achievement,49.15%,38.58%,Improvement,51.90%,50.73%,Achievement,62.90%,53.22%,Achievement,9,-,9,10,-,10,0,-,1.387,215,81,58.386,1.377,101,73.363,Achievement,5,5,31,1.50%,01-01-1985,DAVITA,01-01-2015
292504 NORTH LAS VEGAS DIALYSIS CENTER (DVA),292504,-,2065 NORTH LAS VEGAS BLVD. ,NORTH LAS VEGAS,NV,89030,15,6,8.14%,Achievement,94.22%,Achievement,54.80%,No Rate,Achievement,74.77%,No Rate,Achievement,46.31%,No Rate,Achievement,53.37%,No Rate,Achievement,57.88%,No Rate,Achievement,10,-,9,10,-,10,0,-,1.399,224,84,60.036,1.126,73,64.856,Achievement,5,5,31,1.50%,23-07-1992,DAVITA,01-01-2005
292505 SPARKS DIALYSIS (DVA),292505,-,4860 VISTA BLVD STE 100 ,SPARKS,NV,89436,15,7,6.98%,Achievement,96.08%,Achievement,68.46%,68.54%,Achievement,82.49%,82.33%,Achievement,70.19%,58.30%,Achievement,70.56%,84.37%,Achievement,87.70%,90.80%,Achievement,10,-,9,10,-,10,10,-,0.621,70,12,19.309,1.275,34,26.662,Achievement,5,5,72,No Reduction,28-07-1995,DAVITA,28-06-2000
292506 NORTHWEST LAS VEGAS DIALYSIS (FMC),292506,-,3150 N TENAYA WAY STE 110 ,LAS VEGAS,NV,89128,15,4,12.57%,Achievement,96.95%,Achievement,70.66%,67.31%,Achievement,78.75%,68.83%,Improvement,62.42%,60.82%,Achievement,74.24%,65.62%,Achievement,76.52%,72.30%,Achievement,10,-,9,10,-,10,4,-,1.003,79,21,20.93,1.104,27,24.465,Achievement,5,5,66,No Reduction,01-10-1996,FRESENIUS MEDICAL CARE,02-08-2004
292507 LAS VEGAS DIALYSIS (DVA),292507,-,2333 RENAISSANCE DR ,LAS VEGAS,NV,89119,15,9,4.30%,Achievement,97.12%,Achievement,79.13%,82.25%,Achievement,84.61%,90.28%,Achievement,50.77%,55.60%,Achievement,79.88%,80.74%,Achievement,73.38%,80.75%,Achievement,10,-,9,10,-,10,5,-,0.978,70,17,17.376,1.119,14,12.516,Achievement,5,5,72,No Reduction,16-07-1997,NATIONAL RENAL INSTITUTES,22-07-2014
292508 CARSON CITY DIALYSIS (DCI),292508,-,778 BASQUE WAY ,CARSON CITY,NV,89706,15,7,6.87%,Achievement,95.55%,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,9,-,9,10,-,10,0,-,1.304,59,22,16.869,0.768,11,14.327,Achievement,5,5,51,0.50%,16-03-1998,"DIALYSIS CLINIC, INC.",18-03-2005
292511 PAHRUMP DIALYSIS CENTER (DVA),292511,-,330 S LOLA LN STE 100 ,PAHRUMP,NV,89048,15,5,9.59%,Achievement,96.72%,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,8,-,9,10,-,10,3,-,1.219,99,25,20.502,1.507,41,27.215,Improvement,5,5,58,0.50%,27-12-1999,DAVITA,16-07-2014
292512 SOUTH LAS VEGAS DIALYSIS (DVA),292512,-,2250 S RANCHO DR STE 115 ,LAS VEGAS,NV,89102,15,10,1.06%,Achievement,96.85%,Improvement,70.66%,71.26%,Achievement,91.55%,82.66%,Achievement,38.84%,36.17%,Achievement,72.49%,69.89%,Achievement,75.26%,69.35%,Achievement,9,-,9,9,-,10,8,-,0.747,50,9,12.055,1.469,27,18.386,Achievement,5,5,70,No Reduction,07-04-2000,DAVITA,02-10-2006
292513 SOUTH PECOS (FMC),292513,-,6330 S PECOS STE 110 ,LAS VEGAS,NV,89120,15,3,13.25%,Achievement,98.22%,Achievement,67.60%,69.49%,Achievement,75.55%,78.88%,Achievement,65.20%,58.81%,Achievement,75.03%,76.90%,Achievement,78.49%,76.31%,Achievement,10,-,9,10,-,10,0,-,1.41,252,88,62.431,0.979,47,47.999,Achievement,5,5,60,No Reduction,28-06-2000,RENAL CARE GROUP INC.,01-07-2015
292515 SUMMERLIN DIALYSIS (DVA),292515,-,653 TOWN CENTER DR STE 70 ,LAS VEGAS,NV,89144,15,8,5.16%,Achievement,99.14%,Improvement,72.81%,69.34%,Achievement,87.68%,80.49%,Achievement,55.81%,48.82%,Achievement,67.72%,71.30%,Achievement,74.34%,80.72%,Achievement,10,-,9,10,-,10,7,-,0.786,96,21,26.712,0.887,34,38.313,Achievement,5,5,71,No Reduction,28-02-2001,DAVITA,02-10-2002
292516 ELKO DIALYSIS (DCI),292516,-,1995 ERRECART BLVD STE 100 ,ELKO,NV,89801,15,9,4.28%,Achievement,99.19%,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,10,-,9,10,-,10,10,-,0.519,33,4,7.714,0.99,7,7.073,Achievement,5,5,95,No Reduction,29-06-2001,"DIALYSIS CLINIC, INC.",29-10-2008
292517 GREEN VALLEY DIALYSIS (DVA),292517,-,1489 W WARM SPRINGS RD STE 122 ,HENDERSON,NV,89014,15,5,10.70%,Achievement,96.33%,Achievement,55.73%,62.13%,Achievement,77.75%,82.32%,Achievement,37.99%,50.02%,Achievement,49.56%,57.25%,Achievement,49.44%,56.53%,Achievement,8,-,9,10,-,10,2,-,1.201,172,50,41.631,1.023,52,50.826,Achievement,5,5,41,1.00%,23-05-2002,DAVITA,03-04-2002
292518 RENO DIALYSIS CENTER (DVA),292518,-,1500 E 2ND ST STE 101 ,RENO,NV,89502,15,5,10.55%,Achievement,97.56%,Improvement,62.16%,58.29%,Achievement,75.17%,76.77%,Achievement,32.96%,29.35%,Achievement,66.33%,58.49%,Achievement,70.56%,67.65%,Achievement,10,-,9,10,-,10,5,-,0.955,164,49,51.325,1.008,54,53.559,Achievement,5,5,61,No Reduction,01-08-2002,DAVITA,02-08-2002
292519 LAKE MEAD NORTH (FMC),292519,-,1581 MOUNT MARIAH DRIVE SUITE 100,LAS VEGAS,NV,89106,15,1,17.20%,Improvement,98.36%,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,9,-,9,10,-,10,1,-,1.209,80,27,22.337,0.965,21,21.766,Achievement,5,5,52,0.50%,27-03-2003,OTHER,02-07-2018
292520 SIERRA ROSE DIALYSIS CENTER (DVA),292520,-,685 SIERRA ROSE DR ,RENO,NV,89511,15,10,2.48%,Achievement,98.53%,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,10,-,9,10,-,10,6,-,0.855,60,15,17.551,1.31,15,11.449,Achievement,5,5,71,No Reduction,27-08-2003,DAVITA,25-02-2003
292521 SOUTHERN HILLS DIALYSIS CENTER (DVA),292521,-,9280 W SUNSET RD STE 110 ,LAS VEGAS,NV,89148,15,6,8.38%,Achievement,97.16%,Improvement,79.03%,71.65%,Achievement,82.55%,86.83%,Achievement,62.15%,35.88%,Improvement,78.45%,78.71%,Achievement,86.27%,81.47%,Achievement,8,-,9,10,-,10,2,-,1.187,87,26,21.901,1.251,30,23.981,Achievement,5,5,68,No Reduction,21-06-2004,DAVITA,21-07-2014
292522 ANTHEM VILLAGE DIALYSIS (DVA),292522,-,2530 ANTHEM VILLAGE DR ,HENDERSON,NV,89052,15,3,12.65%,Achievement,97.91%,Achievement,57.72%,No Rate,Achievement,84.73%,No Rate,Achievement,33.11%,No Rate,Achievement,65.41%,No Rate,Achievement,74.11%,No Rate,Achievement,8,-,9,10,-,10,2,-,1.169,71,21,17.963,0.785,8,10.196,Achievement,5,5,57,0.50%,26-05-2004,DAVITA,27-05-2004
292523 RED MOON DIALYSIS,292523,-,900 S MAIN ST ,LAS VEGAS,NV,89101,15,1,17.01%,Achievement,92.15%,N/A,No Rate,76.03%,N/A,No Rate,72.27%,N/A,No Rate,72.12%,N/A,No Rate,70.19%,N/A,No Rate,85.48%,N/A,9,-,9,10,-,10,2,-,1.166,93,32,27.449,0.96,20,20.838,Achievement,5,5,32,1.50%,22-11-2004,NOT A CHAIN,23-11-2004
292524 SIENA HENDERSON DIALYSIS CENTER (DVA),292524,-,2865 SIENA HEIGHTS DR STE 141 ,HENDERSON,NV,89052,15,4,11.56%,Achievement,98.31%,Achievement,77.09%,72.32%,Achievement,83.34%,80.70%,Achievement,42.03%,44.68%,Achievement,75.89%,71.36%,Achievement,76.45%,78.44%,Achievement,10,-,9,10,-,10,1,-,1.204,106,35,29.07,0.909,23,25.307,Achievement,5,5,58,0.50%,19-12-2006,DAVITA,17-07-2014
292525 DESERT SPRINGS DIALYSIS CENTER (DVA),292525,-,2110 E FLAMINGO RD STE 108 ,LAS VEGAS,NV,89119,15,8,5.63%,Achievement,98.53%,Achievement,53.86%,61.88%,Achievement,75.80%,79.60%,Achievement,42.55%,43.01%,Achievement,54.29%,65.51%,Achievement,56.69%,68.66%,Achievement,10,-,9,10,-,10,6,-,0.901,97,21,23.308,1.212,38,31.342,Achievement,5,5,58,0.50%,25-04-2007,DAVITA,22-07-2014
292526 SOUTH MEADOWS DIALYSIS (DVA),292526,-,10085 DOUBLE R BLVD STE 160 ,RENO,NV,89521,15,9,3.48%,Achievement,98.66%,Improvement,53.13%,46.28%,Improvement,78.53%,75.97%,Achievement,49.18%,35.31%,Improvement,57.25%,41.10%,Improvement,60.34%,50.27%,Achievement,10,-,9,10,-,10,9,-,0.649,94,17,26.188,0.803,21,26.143,Achievement,5,5,73,No Reduction,13-07-2007,DAVITA,03-03-2009
292527 FIRE MESA DIALYSIS (FMC),292527,-,2450 FIRE MESA ST STE 120 ,LAS VEGAS,NV,89128,15,7,6.63%,Achievement,98.31%,Achievement,65.58%,67.80%,Achievement,78.96%,81.13%,Achievement,54.57%,59.88%,Achievement,63.56%,64.00%,Achievement,64.08%,63.26%,Achievement,10,-,9,10,-,10,0,-,1.307,157,55,42.079,1.018,37,36.361,Achievement,5,5,60,No Reduction,14-02-2007,RENAL CARE GROUP INC.,16-07-2014
292528 FALLON DIALYSIS (DVA),292528,-,1103 NEW RIVER PKWY ,FALLON,NV,89406,15,8,4.83%,Achievement,97.11%,N/A,No Rate,65.13%,N/A,No Rate,88.53%,N/A,No Rate,45.00%,N/A,No Rate,60.60%,N/A,No Rate,79.04%,N/A,9,-,9,10,-,10,3,-,1.082,47,16,14.785,1.068,11,10.3,Achievement,5,5,77,No Reduction,20-11-2007,DAVITA,08-10-2007
292529 SOUTH RAINBOW DIALYSIS (FMC),292529,-,7040 W SUNSET RD ,LAS VEGAS,NV,89113,15,5,10.17%,Achievement,97.10%,Achievement,70.46%,71.32%,Achievement,77.38%,77.06%,Achievement,53.35%,57.02%,Achievement,71.82%,71.71%,Achievement,67.18%,72.56%,Achievement,10,-,9,10,-,10,3,-,1.077,156,45,41.795,1.26,42,33.329,Achievement,5,5,58,0.50%,09-07-2008,FRESENIUS MEDICAL CARE,25-07-2014
292531 CENTENNIAL DIALYSIS CENTER (DVA),292531,-,8775 W DEER SPRINGS WAY ,LAS VEGAS,NV,89149,15,5,10.71%,Achievement,98.27%,Achievement,59.06%,62.70%,Achievement,77.78%,79.98%,Achievement,26.45%,34.04%,Achievement,53.96%,60.92%,Achievement,51.04%,67.63%,Achievement,8,-,9,10,-,10,3,-,1.122,131,40,35.661,0.983,33,33.563,Achievement,5,5,47,1.00%,18-07-2008,DAVITA,19-07-2008
292532 DESERT VALLEY DIALYSIS,292532,-,350 FALCON RIDGE PKWY STE 104 BLDG 700,MESQUITE,NV,89027,15,0,30.77%,Achievement,88.49%,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,6,-,9,7,-,10,8,-,0.752,34,7,8.995,1.788,14,7.828,Achievement,5,5,46,1.00%,13-08-2008,UNIVERSITY OF UTAH DIALYSIS PROGRAM,14-08-2008
292533 LIBERTY DIALYSIS - RENO HOME DIALYSIS,292533,-,601 SIERRA ROSE DR STE 201 ,RENO,NV,89511,15,No Score,No Rate,N/A,93.72%,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,10,-,9,10,-,10,10,-,0.626,26,4,6.387,0.815,6,7.365,Achievement,5,5,47,1.00%,24-10-2008,LIBERTY DIALYSIS HAWAII,26-01-2018
292534 NEVADA DIALYSIS CENTER (DVA),292534,-,1510 W WARM SPRINGS RD STE 100 ,HENDERSON,NV,89014,15,3,12.91%,Achievement,95.90%,Improvement,57.07%,66.25%,Achievement,77.32%,73.05%,Achievement,47.65%,40.38%,Improvement,50.84%,66.95%,Achievement,60.56%,67.89%,Achievement,4,-,9,10,-,10,4,-,0.999,115,30,30.027,1.278,41,32.081,Achievement,5,5,42,1.00%,15-01-2009,DAVITA,26-08-2014
292535 GARDNERVILLE DIALYSIS (DCI),292535,-,1281 KIMMERLING RD STE A1 ,GARDNERVILLE,NV,89460,15,0,19.14%,Achievement,95.36%,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,8,-,9,10,-,10,10,-,0.27,46,4,14.819,0.938,10,10.657,Achievement,5,5,68,No Reduction,04-03-2009,"DIALYSIS CLINIC, INC.",05-03-2009
292536 LAS VEGAS PEDIATRIC DIALYSIS (DVA),292536,-,7271 W SAHARA AVE STE 120 ,LAS VEGAS,NV,89117,15,No Score,No Rate,N/A,82.01%,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Score,1,9,No Score,1,10,10,-,0.425,12,2,4.706,No Ratio,N/A,N/A,Achievement,5,5,68,No Reduction,11-02-2009,DAVITA,12-02-2009
292537 LIBERTY DIALYSIS - SOUTH RENO,292537,-,601 SIERRA ROSE DR STE 101 ,RENO,NV,89511,15,5,10.87%,Achievement,99.08%,N/A,No Rate,63.61%,N/A,No Rate,79.61%,N/A,No Rate,45.97%,N/A,No Rate,65.28%,N/A,No Rate,79.19%,N/A,10,-,9,10,-,10,1,-,1.265,68,30,23.708,0.79,16,20.246,Achievement,5,5,64,No Reduction,23-03-2009,LIBERTY DIALYSIS HAWAII,24-03-2009
292538 FIVE STAR DIALYSIS CENTER (DVA),292538,-,2400 TECH CENTER CT ,LAS VEGAS,NV,89128,15,9,3.48%,Achievement,95.01%,Achievement,75.00%,75.11%,Achievement,78.86%,75.39%,Achievement,56.68%,60.00%,Achievement,90.68%,79.94%,Achievement,97.43%,84.74%,Achievement,7,-,9,10,-,10,3,-,1.095,170,49,44.74,0.979,51,52.113,Achievement,5,5,60,No Reduction,23-04-2009,DAVITA,24-04-2009
292539 CARSON CITY DIALYSIS CENTER (DVA),292539,293500,3246 N CARSON ST STE 110 ,CARSON CITY,NV,89706,15,4,12.50%,Achievement,98.09%,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,9,-,9,10,-,10,6,-,0.867,83,17,19.604,0.896,15,16.743,Achievement,5,5,69,No Reduction,24-06-1997,DAVITA,23-08-2011
292540 LIBERTY DIALYSIS - CARSON CITY,292540,-,4500 S CARSON ST ,CARSON CITY,NV,89701,15,1,15.97%,Achievement,97.18%,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,6,-,9,9,-,10,6,-,0.903,73,15,16.615,1.327,19,14.32,Achievement,5,5,56,0.50%,14-08-2009,FRESENIUS MEDICAL CARE,15-08-2009
292541 LIBERTY DIALYSIS - NORTHWEST RENO,292541,-,6144 MAE ANNE AVE ,RENO,NV,89523,15,2,14.13%,Achievement,99.44%,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,10,-,9,10,-,10,0,-,1.318,63,25,18.966,1.08,20,18.511,Achievement,5,5,60,No Reduction,18-11-2009,FRESENIUS MEDICAL CARE,19-11-2009
292542 CENTENNIAL DIALYSIS (FMC),292542,-,7465 W AZURE DR STE 1A ,LAS VEGAS,NV,89130,15,3,13.27%,Achievement,98.21%,Achievement,65.72%,67.75%,Achievement,75.71%,81.77%,Achievement,49.78%,43.04%,Improvement,62.28%,69.54%,Achievement,65.30%,56.63%,Achievement,10,-,9,10,-,10,5,-,0.931,172,40,42.958,1.274,46,36.113,Achievement,5,5,58,0.50%,04-11-2009,FRESENIUS MEDICAL CARE,05-11-2009
292543 LIBERTY DIALYSIS - LAS VEGAS (FMC),292543,-,6970 W PATRICK LN STE 100B ,LAS VEGAS,NV,89113,15,5,9.77%,Achievement,96.90%,Achievement,55.01%,59.02%,Achievement,73.37%,73.60%,Achievement,47.14%,45.27%,Achievement,53.05%,49.91%,Achievement,68.67%,58.93%,Achievement,10,-,9,10,-,10,7,-,0.803,110,24,29.874,1.168,30,25.69,Achievement,5,5,55,0.50%,05-05-2010,FRESENIUS MEDICAL CARE,17-07-2014
292544 WEST SAHARA DIALYSIS (FMC),292544,-,7710 WEST SAHARA AVE STE 120 ,LAS VEGAS,NV,89117,15,2,14.92%,Achievement,99.06%,Achievement,72.04%,63.63%,Achievement,82.36%,71.34%,Achievement,51.92%,41.76%,Improvement,72.00%,60.59%,Achievement,78.95%,60.30%,Achievement,9,-,9,10,-,10,0,-,1.308,105,37,28.282,0.963,20,20.762,Achievement,5,5,53,0.50%,30-11-2011,FRESENIUS MEDICAL CARE,01-12-2011
